"ine","Ficha","Municipio","Total","ODS","name","value"
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods01","ods01.PobrSev",15.9
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods01","ods01.Pobr",28.7
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods01","ods01.PobrInfantil",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods01","ods01.Gasto_23perHab",35.25
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods2","ods2.nivPriv",3
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods3","ods3.tasaMP",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods3","ods3.edadM",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods3","ods3.tasaSuic",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods3","ods3.tasaInf",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods4","ods4.tasaSec",42.4
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods4","ods4.Gasto_32perHab",5.19
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods4","ods4.epdSi",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods5","ods5.tasaViolSex24",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods5","ods5.rvi",1
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods6","ods6.vulnerNitr",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods7","ods7.numNivRiesVulnEn",2
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods8","ods8.tasaParo",5.3
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods8","ods8.tasaJuv",2.7
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods10","ods10.tasa50",23.2
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods10","ods10.gini",35
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods10","ods10.Dep",65.4
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods11","ods11.tasaVuln",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods11","ods11.maxPM10",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods11","ods11.despobl",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods12","ods12.envases.hab",25.6
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods12","ods12.papel.hab",57.5
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods12","ods12.vidrio.hab",48.6
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods12","ods12.ecoparque",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods13","ods13.Participa",1
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods15","ods15.tasaBosque",6.9
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods15","ods15.espNat",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods16","ods16.tasaCrimConv",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods16","ods16.tasaTotHom",NA
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods17","ods17.ciudEd",0
"03001","03001-atzubia-l","Atzúbia, l'",594,"ods17","ods17.tasaCoop",NA
"03002","03002-agost","Agost",5107,"ods01","ods01.PobrSev",11.5
"03002","03002-agost","Agost",5107,"ods01","ods01.Pobr",26.6
"03002","03002-agost","Agost",5107,"ods01","ods01.PobrInfantil",17.6
"03002","03002-agost","Agost",5107,"ods01","ods01.Gasto_23perHab",119.57
"03002","03002-agost","Agost",5107,"ods2","ods2.nivPriv",2
"03002","03002-agost","Agost",5107,"ods3","ods3.tasaMP",NA
"03002","03002-agost","Agost",5107,"ods3","ods3.edadM",NA
"03002","03002-agost","Agost",5107,"ods3","ods3.tasaSuic",NA
"03002","03002-agost","Agost",5107,"ods3","ods3.tasaInf",NA
"03002","03002-agost","Agost",5107,"ods4","ods4.tasaSec",16.2
"03002","03002-agost","Agost",5107,"ods4","ods4.Gasto_32perHab",26.13
"03002","03002-agost","Agost",5107,"ods4","ods4.epdSi",0
"03002","03002-agost","Agost",5107,"ods5","ods5.tasaViolSex24",NA
"03002","03002-agost","Agost",5107,"ods5","ods5.rvi",0
